taxon	worms_id	worms_scientific_name	worms_is_terrestrial	worms_is_freshwater	worms_is_brackish	worms_is_marine	worms_lsid	worms_url
Arctozenus risso (Bonaparte, 1840)	126352	Arctozenus risso	False	False	False	True	urn:lsid:marinespecies.org:taxname:126352	http://www.marinespecies.org/aphia.php?p=taxdetails&id=126352
Paradoxostoma angliorum Horne & Whittaker, 1985	128316	Paradoxostoma angliorum	False			True	urn:lsid:marinespecies.org:taxname:128316	http://www.marinespecies.org/aphia.php?p=taxdetails&id=128316
Veneridae sp.	243	Veneridae				True	urn:lsid:marinespecies.org:taxname:243	http://www.marinespecies.org/aphia.php?p=taxdetails&id=243
Spathipora Fischer, 1866	111016	Spathipora				True	urn:lsid:marinespecies.org:taxname:111016	http://www.marinespecies.org/aphia.php?p=taxdetails&id=111016
Dipurena strangulata Mc Crady, 1859	284529	Dipurena strangulata	False	False		True	urn:lsid:marinespecies.org:taxname:284529	http://www.marinespecies.org/aphia.php?p=taxdetails&id=284529
Ficus ventricosa (Sowerby, 1825)	527724	Ficus ventricosa				True	urn:lsid:marinespecies.org:taxname:527724	http://www.marinespecies.org/aphia.php?p=taxdetails&id=527724
Fusinus tessellatus (G. B. Sowerby II, 1880)	448380	Fusinus tessellatus				True	urn:lsid:marinespecies.org:taxname:448380	http://www.marinespecies.org/aphia.php?p=taxdetails&id=448380
Alloeocomatella polycladia Messing, 1995	246721	Alloeocomatella polycladia	False	False	False	True	urn:lsid:marinespecies.org:taxname:246721	http://www.marinespecies.org/aphia.php?p=taxdetails&id=246721
Actinopyga serratidens Pearson, 1903	208955	Actinopyga serratidens	False	False	False	True	urn:lsid:marinespecies.org:taxname:208955	http://www.marinespecies.org/aphia.php?p=taxdetails&id=208955
Casmaria ponderosa (Gmelin, 1791)	211108	Casmaria ponderosa				True	urn:lsid:marinespecies.org:taxname:211108	http://www.marinespecies.org/aphia.php?p=taxdetails&id=211108
Conus panniculus Lamarck, 1810	429937	Conus panniculus				True	urn:lsid:marinespecies.org:taxname:429937	http://www.marinespecies.org/aphia.php?p=taxdetails&id=429937
Argonauta nouryi	341786	Argonauta nouryi	False	False		True	urn:lsid:marinespecies.org:taxname:341786	http://www.marinespecies.org/aphia.php?p=taxdetails&id=341786
Conidae Fleming, 1822	14107	Conidae				True	urn:lsid:marinespecies.org:taxname:14107	http://www.marinespecies.org/aphia.php?p=taxdetails&id=14107
